iter	Passed	Remaining
0	132	132500
1	133	66541
2	133	44522
3	134	33517
4	135	26913
5	136	22541
6	136	19389
7	137	17021
8	137	15182
9	138	13708
10	139	12510
11	139	11510
12	140	10658
13	141	9930
14	141	9298
15	142	8770
16	143	8294
17	144	7860
18	144	7474
19	145	7127
20	146	6808
21	146	6524
22	147	6264
23	148	6020
24	148	5797
25	149	5593
26	149	5405
27	150	5235
28	151	5077
29	152	4929
30	153	4792
31	154	4670
32	155	4552
33	156	4444
34	174	4802
35	175	4688
36	176	4583
37	177	4482
38	178	4388
39	178	4295
40	179	4207
41	180	4121
42	181	4043
43	182	3969
44	183	3893
45	184	3822
46	185	3752
47	185	3686
48	186	3625
49	187	3571
50	189	3517
51	189	3462
52	190	3411
53	191	3358
54	192	3310
55	193	3261
56	194	3214
57	195	3171
58	196	3128
59	197	3088
60	198	3048
61	198	3007
62	199	2968
63	200	2930
64	201	2892
65	202	2858
66	203	2828
67	203	2794
68	204	2761
69	205	2727
70	206	2695
71	206	2663
72	207	2634
73	208	2606
74	209	2578
75	209	2550
76	210	2522
77	211	2495
78	211	2468
79	212	2442
80	213	2417
81	213	2391
82	214	2364
83	214	2341
84	215	2318
85	216	2295
86	216	2273
87	217	2253
88	218	2233
89	219	2215
90	220	2198
91	220	2180
92	221	2161
93	222	2142
94	222	2123
95	223	2104
96	224	2085
97	224	2067
98	225	2049
99	225	2032
100	226	2016
101	227	2000
102	227	1985
103	228	1969
104	229	1954
105	229	1939
106	230	1924
107	231	1909
108	231	1894
109	232	1885
110	233	1872
111	234	1858
112	235	1845
113	235	1832
114	236	1819
115	237	1806
116	237	1792
117	238	1779
118	238	1767
119	239	1755
120	240	1744
121	240	1731
122	241	1720
123	241	1708
124	242	1697
125	243	1686
126	243	1675
127	244	1664
128	244	1653
129	245	1643
130	246	1632
131	246	1622
132	247	1613
133	248	1603
134	248	1594
135	249	1585
136	250	1576
137	251	1568
138	251	1558
139	252	1549
140	252	1540
141	253	1530
142	253	1521
143	254	1512
144	255	1503
145	255	1495
146	256	1486
147	256	1479
148	257	1471
149	258	1462
150	258	1455
151	259	1447
152	259	1439
153	260	1431
154	261	1423
155	261	1415
156	262	1408
157	263	1402
158	264	1396
159	264	1389
160	265	1382
161	266	1376
162	266	1369
163	267	1362
164	267	1355
165	268	1348
166	268	1341
167	269	1334
168	270	1328
169	270	1322
170	271	1315
171	272	1309
172	272	1303
173	273	1297
174	273	1290
175	274	1284
176	275	1278
177	275	1272
178	276	1266
179	276	1260
180	277	1254
181	277	1249
182	278	1244
183	279	1239
184	280	1234
185	280	1228
186	281	1223
187	282	1218
188	282	1213
189	283	1207
190	284	1203
191	284	1198
192	285	1194
193	286	1189
194	286	1184
195	287	1179
196	288	1175
197	288	1170
198	289	1165
199	290	1160
200	290	1156
201	291	1151
202	292	1147
203	292	1142
204	293	1138
205	294	1134
206	294	1130
207	295	1125
208	296	1120
209	296	1116
210	297	1111
211	297	1107
212	298	1102
213	299	1098
214	300	1096
215	300	1091
